uID,Context
BNC-2100,"``Ely,'' I said (that was her name and the first time I 'd ever used it), ``I want to be free.'' She looked stunned."
BNC-2101,"I'm sorry, I 've put you in an invidious position. If you're being run by Morton, he 'll want to hear all this."
BNC-2102,And counting. Dressing to Please. They won't miss me for a morning.
BNC-2104,"He had to do it himself. Miss Sowerby - by now an enthusiastic convert - and I had taken turns at massaging the damaged calf muscles, and suddenly I said to him, ``Jimbo, just imagine it's you that's making the muscles move.''"
BNC-2107,"The big Norwegian shook his head, frowning. ``Jeg fonstAr ikke.''"
BNC-211,"I gripped the banister and swung myself head over heels, then came out on the roof of a tower. When I made my way down its spiral staircase I found myself in the main thoroughfare of the town where I was born."
BNC-2119,``It was such a shock when I realised what Dora was suggesting. We had a terrible quarrel... I was screaming at her.
BNC-2120,"``I didn't think, I just assumed I could rent a plane and fly over.''"
BNC-2124,"``She caught a fever in the village. Benedict had it, too.''"
BNC-2143,"Firstly, I didn't know about the SAS soldiers in the British Embassy, and I am very surprised about it. Very surprised indeed, Ambassador."
BNC-2150,"Whatever I learnt, I shared with Joe, not, I'm afraid, so that he would be more educated, but so that I would be less ashamed of him in front of Estella. One Sunday Joe and I went out on the marshes, as usual, to study together."
BNC-2152,"You really don't know anything about me, do you, despite all that wallowing in my mind?"
BNC-2153,"She was a girl of firmly fixed, if limited, principles, and, on the purely domestic front, an excellent wife. She cooked superbly, adored her baby sons and mothered her husband, buying him linctus whenever he coughed and insisting he should take cod-liver oil in the winter."
BNC-2154,"It's where the bands practise. I can't remember what band Petra's in, but I seen them practise once."
BNC-2163,"The producer's credit was for Robert Forbes, Jo's father and Lorna's husband, who sat beside his wife, his long, elegant legs half-hidden in the ultramarine satin folds of her skirt. Even in his eighties he was a fine-looking man, the more so in any kind of formal dress."
BNC-2165,My wife went back to Britain. She said I 'd chosen the path to failure.
BNC-2175,I don't mean! You're always telling me what I should be - or do - or say.
BNC-2180,Bohemian pyrotechnics are not what marriage to Stu promises. Gillian has landed herself nothing other than the youngest older man she could find.
BNC-2182,"``Who knows? The point is, do we go with it or not?''"
BNC-2185,"She swallowed hard, unsure if she had the nerve to go ahead. The memory of the pain in Tara's eyes last night decided her."
BNC-2186,"Doyle, the Woman, the television news-readers, Hank, the girl and the policeman - even his own face in the mirror - all told him that he was Philip Doyle. That Liam Shakespeare was a hostage in a house in Shelley Grove."
BNC-2191,"If there are spirits at work at the time, they come only from yourself, not from the fume of the incense. Why should spirits aid living beings?"
BNC-2192,"Little did they know this was the fellow for whom The Flippity Flop Young Man was written, and I wasn't about to tell them. Would it have made any difference if I had?"
BNC-2203,Paddington was beginning to loom slightly larger than a man's hand on the horizon. Paddington was where the murdered Kemp had stood and phoned The Randolph the previous day.
BNC-2227,Why should this topic matter? You talked about everything else as you usually do.
BNC-2229,"She was sick with worry about everything. It's like being caught in huge sticky web - the more you struggle, the more entangled you get."
BNC-2237,It must be because I'm not reacting to the socket like the receptionist would. Her own horror burst out of its chrysalis.
BNC-2239,"``Funny that the met people should get it so wrong.'' Outside the flight deck, a wisp of white flicked past the black window."
BNC-2242,"Forced to listen to all those hoary chestnuts that cast me and my kind as the bad guys, and the butt of all the jokes. What arrogance, what cheek, what chutzpah!"
BNC-2244,"I also see that we're about as alike as chalk and cheese, because I would never sell out a whole species for the wrongs of one group."
BNC-2252,"And between claws and body, a Medusa's head, with cold, unlidded eyes. She looked at her drawing and was pleased."
BNC-2258,"Carnelian must know special runes to inscribe around the eye-screen and arcane litanies to incant, to make it serve this two-way purpose, which perhaps had been the true purpose of the device in the first place... ``I'm listening,'' Jaq shouted. ``I'm all ears.''"
BNC-2263,"I wondered if I should continue working with Joe in a plain, honest way of life, and perhaps marry Biddy."
BNC-2266,"You have refused to pay what has been asked for my return, but if you knew what I have become, a fearless old man with nothing left to lose, you would pay twice as much to have me kept away! Whatever happens now, my children, we can never be again as we were."
BNC-227,"``But my father always taught me never to be afraid of pointing out the obvious. I'm sure you have noticed the implication of the letter, that the writer has in fact observed Jenny undressing for bed?''"
BNC-2295,"He had deceived her utterly from start to finish, and such calculated deceit was a downright insult!"
BNC-2296,Either way the result is inevitably the same. A severed jugular!
BNC-2307,So the hound followed the scent and hunted this man. But there is one thing I don't understand.
BNC-2313,"It is all very well, in these changing times, to adapt one's work to take in duties not traditionally within one's realm. But bantering is of another dimension altogether."
BNC-232,"He would be furious, of course, and rightly so. But, even if she could find the nerve to admit to her deception, she couldn't own up to a thing - Cara was depending on her!"
BNC-2325,"Where's he got all that from? Some kind of Gerald Durrell character, is he, going round the world collecting creepy-crawlies?"
BNC-233,And I don't want to have to lie to them. The kidnappers have given us until October the eleventh to deliver the document and I haven't despaired of finding it before then.
BNC-2330,Why was the Provost angry? Why did the wild friend ride from Hamptonshire to Hungary?
BNC-2332,"Tonight... The cool air caressed her bare arms, and Folly shivered and turned back towards the house. What did women do, who were waiting for their lovers?"
BNC-2337,"But the horror of losing was as much to do with money as with pride. Biddy had never let them down, come without fail all through the bad weather, and now was giving Nails an intensive course on her own horse which - in terms of money - was worth another couple of hundred pounds."
BNC-2338,"The slaves continued their stoking, shuffling to and from the cart, heaving the beech logs into the next furnace. The Robemaker moved forward, prodding Nuadu onwards and, as they moved down the centre of the Workshop, the blazing furnaces roaring on each side of them, Nuadu felt his skin already shrivelling from the heat."
BNC-2340,"I ducked so fast I wasn't sure whether he 'd seen me or not, but it gave me a prickly feeling just to imagine it, so I scuttled for the door and legged it up the spiral stairway three steps at a time, just in case. As I ran, I remember thinking stupid thoughts like."
BNC-236,"Ari felt very old as she walked back to the group. It seemed that, all around her, things were changing - old, beloved routines that had felt safe and comfortable were decaying into new patterns."
BNC-237,"He was so very young, so hurt and confused by all that had happened in his life, it seemed only natural that he should want to lash out. And if it was her he was lashing out at, so be it."
BNC-2375,"At the heart of the universe there is cruelty. We are predators and are preyed upon, every living thing."
BNC-2378,``I wanted to tell you. But the Bookman asked me to keep our meeting a secret.''
BNC-2388,"``Willy did mention it. I was puzzled, I 'll admit, but now I understand.''"
BNC-2394,"``Rather a long shot, wasn't it? Twenty years?''"
BNC-2397,Did you know that? Pluto... the God of Hades.
BNC-2414,She rubbed them away with an angry fist. She was a fool to let anyone get round her.
BNC-2416,"At length she decided that there was nothing to be gained by worrying her. Probably there was some quite innocent explanation, which Roger Kenyon would give her when she returned the wallet - if, indeed, it were his."
BNC-2427,"The machine does not function, he wrote. The desired outcome is delayed."
BNC-2428,"She imagined tiny villages far to the north of England which had no electricity or telegraphs, which believed in lake monsters and King Arthur, and were not so different from northern towns near Canada. The northern English towns might not know or care that Wall Street had crashed."
BNC-2429,Yesterday I couldn't have done it. Couldn't have picked up the pen and opened the notebook and faced the blank page.
BNC-2430,"Laying the Christmas decoration on the eiderdown with care, he thought about Vic. What had he really been saying as they sat among the trees?"
BNC-2436,But he had called on Lorton on the Sunday of Newley's disappearance. Newley must have put him up to it.
BNC-2438,"Surely, the fact that he was out here, calmly taking a holiday, might be an encouraging sign? The machinations of corporate sharks were a slightly hazy area in her experience."
BNC-2449,"Anna looked at Peter again and said to herself in a guilty whisper, ``Will he become even more difficult?'' She wondered if a stranger could tell that he was difficult, just by looking at him."
BNC-2452,"If I beckon, she will certainly come to me! he thought, and his mind whirled, so that for a moment he barely saw the waiting Fiana candidates and the glittering Sun Chamber."
BNC-2453,"During this interlude, Charlotte reminded herself of the different bluffs and deceptions each was practising. Would Natasha admit she had known of Maurice's plan from the outset?"
BNC-2459,"The ninth bomber came out of a lightening sky at six o'clock exactly, and though she sat there for another hour, it was the last.''... and three of our aircraft have failed to return,'' the man who read the news would intone on the midday bulletin."
BNC-2460,Jean was tough and liked to drink. She would endure for a long while yet.
BNC-2462,"Obispal's gaze drifted towards Meh ` Lindi, and he frowned as if adding the final piece to a puzzle which had been perplexing him, but not liking the pattern that he saw."
BNC-2463,Out on the waste ground is a guy with his head bashed in. Ludo swung his club at him with all that strength he hardly knows he possesses.
BNC-2464,I believe the rooms have already been set aside. Does Dr Serafin know about them yet?
BNC-2468,"I promised Mr Harvey I would. Of course, he's terribly anxious for me to settle down out there, marry Cora-Beth and become an American citizen, the way his father did years ago."
BNC-249,Polly met his troubled gaze.
BNC-2490,"Modify the arachnids, said the researchers. Change their bodies and conditions, and you could get fibres like glass, still monofilament, but with logarithmic progressions of possibilities of strength and flexibility, and the ability to resonate light-particles or sound-waves undistorted, scarcely weakened over thousands of miles."
BNC-2491,"Change their bodies and conditions, and you could get fibres like glass, still monofilament, but with logarithmic progressions of possibilities of strength and flexibility, and the ability to resonate light-particles or sound-waves undistorted, scarcely weakened over thousands of miles. Who said the arachnids had to be totally organic?"
BNC-2497,"While the rest of the gang dived into the pub opposite to use the toilets, I called in at H. R. Higgins (Coffee-man) Ltd and bought six gift boxes of coffee (assorted) and two of tea (scented). That was my Christmas shopping sewn up."
BNC-2499,"Alice smiled and nodded, and got up to stand at the window, looking out. Indolent and privileged, daughter of the Establishment, she leaned on the sill, watching the goings-on in the street, and listened to the sounds of paper sliding on paper."
BNC-2504,"Is that what you're saying? Although why you should imagine I would want acceptance into your family when I have a perfectly good family of my own, I have no idea."
BNC-251,"The men surrounding them were squat and dark, their expressions callous and indifferent. They were just doing their job."
BNC-2523,"Which brings us to Selkirk's verses. We know the falcon is James, the lamb is Angus, the Lion also is the King of Scotland."
BNC-2527,So her early impressions were confirmed. He was an exacting man to work for.
BNC-2528,And she still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer.
BNC-2533,"There! I have a genius for this, which I offer to God."
BNC-2560,``But that's not fair! That's downright cheating!''
BNC-2566,"I didn't understand some parts of your letter. I'm a woman, or rather a girl, and not clever."
BNC-2580,``Clever''. Klug means ``clever''.
BNC-2584,"If we all want it put a stop to, will the government do something about it, or will it be like you said, Mr. Gerrard?"
BNC-2604,But I have to admit you confuse me. First you are looking for a man named Svend - then it is your sister.
BNC-2615,By the next day we were ready to go to work. What tells me that this is right?
BNC-2616,"Obviously Edwin had not murdered Francis but he had created a situation in which violence was more likely. The main provisions of the will were devisive and certain to breed strife, but they provided no motive for Francis's murder."
BNC-263,The assassin's tone and bearing were completely confident.
BNC-2630,"The Susweca. It means ``dragonfly'' in Sioux, you know."
BNC-2658,"Therese, lying on her narrow bed at the Goldener Adler, was fighting overwhelming panic. She was exhausted and she wasn't even taking the lead in tonight's performance."
BNC-2661,"Valence the void-brain, Valence the virtuous valet. Why couldn't the figger choose his own portion of titanic anatomy to shaft?"
BNC-2664,"I only need that, thought Sara. What was she going to do about Matthew and Jenny?"
BNC-2670,She had spoiled the child rotten. But what else could she have done?
BNC-2677,"He said. ``Not if I want to continue fitting into all my clothes.'' Good grief, what century was this man living in?"
BNC-2678,"When one morning she told me that they were going away, I can't say that it was a surprise. The way she put it was that Michel had very kindly offered to drive her to Paris, which she had never seen properly (Simon used to grumble so about not being able to take her because of the war)."
BNC-293,Alan Dysart. Harry's mother reacted to his arrival as if the Prince of Wales had called by unexpectedly.
BNC-297,"How do you know? she was going to ask, but his smile was answer enough."
BNC-299,"Colin hated the way he inspected the rag before folding the contents into the centre and forcing it into his trouser pocket. Smith obliged on all counts before announcing firmly, ``It was Arson.''"
BNC-300,It was true that Robert had always liked pigs.
BNC-304,"And Sarah knew, while Peter didn't. It amazed her that she should find it difficult to tell him."
BNC-325,"She didn't know if they had given themselves sufficient time to think things over before they married - that was the kind of question her sister Louise asked. Edward stayed in the Engineers for a bit, then came out and was not very successful in finding a job to suit him."
BNC-326,"He had exercised effective control of the labour force for ten years at the giant plant and had been able to bring the workers out on strike at the drop of a hat. It was he, Clasper, who dictated to management the size of the labour force they would require to produce a given number of products, regardless of any figure which management might arrive at by employing accurately measured work standards."
BNC-328,He had realised as soon as he had employed Michael that he had found himself a kindred spirit. Michael was innately honest.
BNC-335,Meg realized she 'd been a complete fool. She could have said it differently.
BNC-342,"I don't know if it's sex, or fear that I'm up to some trick. If he does think about the pictures, he accepts everything I say."
BNC-350,And after that - nothing. Silence.
BNC-356,"Indeed, in those busy days, our servants ' hall would often witness a gathering of some of the finest professionals in England talking late into the night by the warmth of the fire. Sometimes, naturally, there would be strong disagreements, but more often than not, the atmosphere was dominated by a feeling of mutual respect."
BNC-36,"I told you once before what I believe in, Michael Riven. I believe in friendship, also."
BNC-363,"``Oh, come on! Don't lie, to me or yourself.''"
BNC-365,Anybody who's not a shrink (or my wife) only sees an ink blot when they look at one. This is an absolute nuthouse.
BNC-370,"Who knows how many quarrels, false accusations, unnecessary dismissals, how many promising careers cut short can be attributed to a butler's slovenliness at the stage of drawing up the staff plan? Indeed, I can say I am in agreement with those who say that the ability to draw up a good staff plan is the cornerstone of any decent butler's skills."
BNC-371,"You will not dispute, I presume, that Mr Marshall of Charleville House and Mr Lane of Bridewood have been the two great butlers of recent times. Perhaps you might be persuaded that Mr Henderson of Branbury Castle also falls into this rare category."
BNC-373,"But to make matters worse the usual comfort a father has in these situations - that is, the notion that his son gave his life gloriously for king and country - was sullied by the fact that my brother had perished in a particularly infamous manoeuvre. Not only was it alleged that the manoeuvre had been a most un-British attack on civilian Boer settlements, overwhelming evidence emerged that it had been irresponsibly commanded with several floutings of elementary military precautions, so that the men who had died - my brother among them - had died quite needlessly."
BNC-374,"Obeying his instruction, I proffered my hand, open palm upwards, towards the animal. The ratbird climbed on and began to preen its fur unconcernedly."
BNC-376,"``Can you?'' ``The wedding of course,'' said my mother ill-advisedly."
BNC-385,"At this time of year not much, it's been a dryish summer, and there's not a lot of water coming down. Say half a knot - and that's probably an over-estimate."
BNC-394,"Jotan looked as though he was considering the alternatives. ``We are summoned to audience with Artai later,'' he said, ``but until then we can do as we please.''"
BNC-396,"Fernando drew away from her and Ruth scrambled to her feet, smoothing the creases from her dress. While he shook out the blanket and brushed down his trousers Ruth turned her pinched face towards the sea."
BNC-397,"Alas, poor Cecil. Better for him, maybe, had he stuck to his original scheme."
BNC-398,"Still, she could get started on a draft. She took out her pocket recorder and began dictating."
BNC-402,I shall not waver even at this supreme moment. Nor shall I again urge the objections cited above to the ``murderous conspiracy'' theory.
BNC-403,"He had only to say he admired Grace Bird's fortitude and instantly her chin stiffened with resolve. He had but to comment favourably on the kittenish qualities of Babs Osborne for her to curl up as best she could on the plush seat beside him, her thumb in her mouth."
BNC-406,"The shock wave was delayed by only a few more seconds, and then it rolled over them like a small hurricane. No loose ends."
BNC-407,What had brought Gharr and Ten-huc and Pulvidon to the planet at the same time? Why were all of them so interested in why I was there?
BNC-412,"Unlike Aunt Kit, who believed it to be a barbaric rite, intolerable between reasonable men and women, Aunt Lilian, the headmistress, simply felt it her duty to point out that a career - any career - would be less easy once a girl was lumbered with a husband and children. (Though in fact she would not have said ``lumbered'', not because she was afraid to put forward an unpopular view, but because she was an honourable and exact woman.)"
BNC-413,She had known Mandy all her life. The papers might talk about the swinging sixties but the nearest most girls of Maura's age got to it was in the clothes they wore.
BNC-415,"However, I will let the gynandrous renegade stay here under one condition. If Penumbra questions either of us, we will not lie."
BNC-418,"``I think I have it all now, Mr Robinson.'' Mary almost laughed aloud at Hope's tolerant gravity."
BNC-420,"And he turned, shy, somehow, and they held each other. Nathan smelt warm sleep, clean skin."
BNC-422,"He trusted the captains of his ships, he trusted his trading partners in the East, in the Indian Ocean, over the Atlantic, around the African coast. His clerks, his associates in Liverpool, his bank, his builders, his carpenters, those who supplied him with his furniture and his clothes - Mr Crump moved in a world of total trust."
BNC-426,"Imagine if, for instance, we could get him standing up in public, get him photographed, on newsreel, all around the world, saying that we were fighting a just war, that Hitler was insane, that we had to win. Imagine him appealing to America to come in quickly, fight the good fight with us, shoulder to shoulder."
BNC-427,Pictures of Lizzy as a child were everywhere. She shook her head.
BNC-428,His reaction to the news had been partly predictable and partly complex and more disturbing. There had been the natural initial shock of disbelief at hearing of the unexpected death of any person even casually known.
BNC-431,This was a sheer waste of time. He would probably land and then tell them to walk back.
BNC-435,"You say you love me. Well, I love you too."
BNC-454,``Keep your faces down.'' Beth feared for the children's sight as she lurched forward to grab the branch.
BNC-455,"What you should do - if you were sophisticated - was just give the glass a swirl and sniff, which would tell you whether or not the wine was off. So this was what Ollie took to doing, reducing his performance to a series of loud inhalings followed by a curt nod."
BNC-459,"Come on, convince them. He realized that his last chance was to make his captors believe that Donna knew where the book they sought was hidden, whatever it was."
BNC-461,"It had sounded very plausible through the claret and the brandy and the smoke of Ben Braithwaite's excellent cigars. Less so the next morning when, his stomach seriously disordered and his head aching, John-William had started to wonder why a man like Goldsborough who was'' gentry'' through and through despite his odd goings-on at the Fleece, should be making revolutionary suggestions as to how the'' squires ' government might be brought down."
BNC-463,He could be genuinely offering her his guidance around the exposition or he could be offering her guidance in the art of something else! Ruth's eyes sought out Steve as if he had the answers she needed.
BNC-468,"On the second day, Tim showed Anna the system in the warehouse. On the third, he explained how to use the computer for reordering."
BNC-473,"As you saw, I 've got my tent set up now on the island. I 'll work there, and I 'll come back and sleep in the house."
BNC-476,"The nun and her superior exchanged glances. Then Mother Francis, with a small inclination of her head, gave the nun leave to take this very awkward child away."
BNC-48,"The marriage she had assumed naively would be the end of every serious relationship now seemed a very distant - if not unreachable - shore. Whereas Luke was very near, and the feelings he aroused in her were like an undertow, pulling her down."
BNC-488,"Another vivid picture, this time of herself standing by the ford in fitzAlan's arms, insinuated itself into Isabel's mind. She had a distinctly uncomfortable feeling that he was not referring to the fight which had followed that little incident."
BNC-491,Doug emerges from the cabin looking blue with cold. He smiles weakly at everyone.
BNC-492,Maybe neither Dixie nor the topcoat had criminal records. Certainly the old man will have said he saw a man robbing them.
BNC-50,Gold dust. He returned the other three books to the trunk and replaced the mattresses.
BNC-500,She shivered. The letter had definitely stated that she was to be met.
BNC-505,"At the sight of him I would smell the dust of the confessional and remember the mixture of boredom, shame and relief as I said my penances. I was familiar with the view that the priesthood is beyond shock, being entirely cognisant of the whole sum of human folly and evil from the outpourings of the penitent, but I wasn't convinced."
BNC-509,"Perhaps I might have recognized my own hypocrisy, if it had not been for Richard's behaviour in the next months. He brought me flowers, took me out to dinner and the theatre, and was generally attentive to me, as if I were his mistress and not an old married woman."
BNC-510,"Children aren't real people, in the sense that they are not small males and females but a separate species which will (probably) grow into one or the other in due time. Younger children in particular, before the insidious and evil influence of society and their parents have properly got to them, are sexlessly open and hence perfectly likeable."
BNC-53,"Contrary to what he had suggested, Marc was a good, fast skier, and it was Sarella who had had difficulty in keeping up. But then she hadn't expected it to be any different."
BNC-540,"``Look, Preston, I can't listen to any more. You burst into my office talking about killings.''"
BNC-549,"My dear girl, it's a small fortune! No one in her right mind would turn her back on that!"
BNC-555,You could have both gone direct to England from New York. But you wanted to come up this way.
BNC-566,"There was latent power in every careless move he made. His body was extremely fit, not an ounce of surplus flesh on him, and every trained muscle and sinew was ready to act in a split-second to whatever the brain required of it."
BNC-568,"What my source was up to, I have no idea."
BNC-570,He had his own worries. There was going to be an official inquiry into the shooting on the arrest of Terry Place.
BNC-571,"John's overcoat of a thin material in the rather common ``Italian'' style did not look very warm, she thought with a pang. They walked in silence for a few minutes."
BNC-572,"He often referred to the royal garden party when he was in a good frame of mind. Scarlet still found the episode entirely mysterious, since she could think of no reason at all why they had been invited."
BNC-573,"He smacked her gold-black-striped bottom, and sent her, fuming, out to her little car. ``Any beer in the house?''"
BNC-574,"Without the guidance of the nuns, Tilda seemed to have lost her last vestige of moral sense. Partisan Street, the first street on the way up from the boats, was, as has been said, considered a rough place - a row of decrepit two-up, two-down brick houses, the refuge of crippled and deformed humanity."
BNC-579,"Her first school had been a church school, and twice a week they 'd had to set their chairs in a raggedy half-circle and fidget their way through one of the vicar's haranguing lectures on Life. He was a small man, bald and beady-eyed and turkey-necked, and only in retrospect could she see that he 'd probably been something of a mental case as well."
BNC-583,"Obviously he did not make himself known so we can only speculate as to who he was watching, but we are all hoping that Trevor Proby will soon get the call. Likewise, supporters have reported to me that a well known, flamboyant Football League Premier Division chairman has been seen at ``The Tip''."
BNC-584,"The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it."
BNC-585,"He had had a stiff greeting that morning from the Grand Commander Louis de Magnac, whom he had tricked over Loppe, and again on shipboard coming from Rhodes. With him was Brother William de Combort, who had entertained Primaflora so warmly at Rhodes in the belief that she was in Carlotta's employment."
BNC-586,"In fact, as the great challenge of the conference drew nearer, an astonishing change seemed to come over my father. It was almost as though some supernatural force possessed him, causing him to shed twenty years."
BNC-587,"As the man crossed the street and started work, Harry headed back into the college. He could believe some drunken classics student had run amok with a spray-can, but not that he had chanced to write two words of no classical significance beneath the window of the room where Harry happened to be staying."
BNC-588,"``Bowled over,'' Graham said nervously, then wished he could gulp the words back somehow. Neither of the others seemed to think anything of it though."
BNC-590,"But even the bone itself is eaten away in places, thought Nuadu, sick with horror. The Robemaker's skin was covered with suppurating sores, great festering, oozing ulcers, leprous growths, cancerous chancres."
BNC-591,"This contract was, perhaps, the only evidence from which I could deduce Helmut's hurt. By giving me a little he was showing both concern for me and his determination that I should pay materially for what I had done to him."
BNC-592,"Yes, he has been quite unbearably lonely here. And knew that the remoteness and the gentle strength had been hard won."
BNC-593,"There was no point in giving her further cause. The nun sighed heavily as she looked back at her sixth-year class, heads bent over their composition books all intent on their essay, ``The Evils of Emigration''."
BNC-599,"There was a group of curious onlookers... Marie felt her legs give way beneath her, she sat down on the edge of the pavement, feet in the gutter, doubled-up, sick and winded as if someone had punched her in the stomach. She lifted up her head and looked again."
BNC-600,"This was the first time she had seen or heard of d'Urberville since she had left Trantridge. And although he stood there openly as a preacher, as a religious man, she still felt afraid of him."
BNC-601,His microphone whistled a little and Sally winced in embarrassment.
BNC-602,"Charles, who shared G.K. Chesterton's opinion that the temperament is a disease which afflicts amateurs, grunted."
BNC-605,"She returned his kiss, her lips soft, sweet, utterly giving. He began an exploration of her body, a constant revelation of tormenting pleasure."
BNC-606,"``No,'' answered Willie, ``course not.'' He wriggled back further on the bed till he was leaning up against the wall."
BNC-607,"He was seated at the back of the court, initially angry that someone had screwed up with the tickets, but he quickly realized that every few games he was almost directly behind her. Each time she bent to receive serve he found himself staring mesmerized at her derriere."
BNC-61,"Nicky approached her with the assumption that men are naturally right and it is the role of women to follow their lead. Constance, whose confidence was growing daily, was not prepared to give in to Nicky's wishes merely because of his sex."
BNC-611,"As Jenna waited to be collected in Paris she began to think that this was not a good idea after all. It was something she had been determined not to do right from the first, and yet here she was, waiting for Alain Lemarchand, butterflies in her stomach threatening to make her feel sick."
BNC-613,"I had been there and I knew it as a beautiful seaside resort, but that wasn't why I was so delighted. It was because it was in Yorkshire."
BNC-618,Just knowing they are there in the bag is as comforting as Victor finds his cheroots. I can already feel the shape of one resting in my palm.
BNC-62,"He did not expect Osman openly to agree but he thought it quite likely that the Sheikh might indicate his willingness to accept Owen's proposition. He thought he saw in Osman, beneath the intransigence and fanaticism, a certain uneasiness as to his own role in the affair."
BNC-625,"Your honesty shines out of your face, my darling. It isn't your fault that cynical men like myself won't let themselves believe what they see!"
BNC-629,His eye fell on Ronan. Already he seemed to have the reassuring kind of manner one associated with being a doctor.
BNC-631,"And she 'd achieved, what was more, almost entirely by her own efforts - even her stepfather had granted her that. For, unlike Jake, Douglas had never accused her of having cheated Ryan out of his fortune - in spite of the fact that, like the rest of the family, he had never known the tragic truth about his son."
BNC-634,Maggie rocked her closer still. She could understand the guilt that Ana carried.
BNC-636,"Maybe tomorrow, or the day after that. Maybe never, Kirov dared to reflect, in a rare moment of optimism."
BNC-637,I can't afford to get bogged down in the weeds. But at least you know she did leave.
BNC-638,Country churches were never locked. You could wander in at any time.
BNC-642,"Obispal had virtually blackmailed Voronov-Vaux to allow him to root out the rebellion with wanton use of force, resulting in all those millions of deaths. Voronov-Vaux's red vision was his vulnerable flaw."
BNC-646,She was about to tell him that was his own stupid fault and that she wasn't here to wait on him - particularly since he had proved to be so inhospitable. But she bit back the words.
BNC-650,"She longed for a weapon, for even a hairpin, and knowing that she did not have one, she knew too that she was totally defenceless, unarmed and alone. She could feel the great flight of the dragon and sensed that she was high in air and travelling fast towards the sunset."
BNC-652,"``Molly likes having an audience for her tales and it passes the hours for them.'' When Miss Louisa had a second more severe stroke at the end of August, and Miss Ellen another heart attack, both old ladies died within a few days of each other."
BNC-654,Joseph spat and spluttered blood.
BNC-656,"Once married, Arnold began to give parties, admirably hosted by the young and vivacious Nancy, for the artists before whom he became speechless with respect. His wife, who was never speechless in those days, entertained the painters, art critics and sculptors more successfully than her husband and found herself slipping into various love affairs which her Arnold, smiling quietly and getting on with his business and his collection, seemed to expect."
BNC-659,"He didn't come till the next day, he had so many calls, and all the same - sick children. By this time, Celia had the same throat and both were in the same bed for company."
BNC-662,"If I were to go in now, thought Rupert, I should attract far more attention that if I 'd gone earlier. The whole thing must be nearly over - hardly anything on the stalls - nothing to eat - people looking surreptitiously at their watches wondering if they were at all justified in slipping away home."
BNC-663,"If Dana left me, I knew I would never love anyone again - or at least, not in the same way, with the same intensity. So I clung to him through the poetry I went on helping him to write."
BNC-667,"Our groundshare next season will show what the team is really made of as we run out for home games on the unfamiliar battlefield of St Dodimeads Comprehensive. With the pitch being unavailable during term time, three-quarters of our games will be away."
BNC-668,"At the far side was a second gate, nearly as massive as the first. Soldiers were pushing it open and Rostov saw that the whole inner yard was a clever device to protect the city."
BNC-67,"But now these beginnings had become something of a joke between them and the congregation had learned to accept them with amused tolerance. They always made Sophia think how much more Mark would be appreciated in a different sort of parish, though she never said anything about it now."
BNC-670,He could perform miracles. He could turn what had happened into a dream.
BNC-672,"He never wrote anything after the war, you notice. I expect he found he 'd sold his working-class birthright for a mess of Bloomsbury pottage."
BNC-681,"However, a lie might not be necessary. After all, something must have made me do it, pointless and unjustified as it seemed now."
BNC-698,"``We're about to run out of time. I would like to thank you for coming into the studio today, and I'm sure we 'll receive a lot of letters from our listeners about what's been said.''"
BNC-703,"He didn't say he loved her but,'' I think we're going to love each other, Lyn.'' From the pulled and sagging pockets of his jacket, his Sunday-go-to-meetings suit, his only suit, Dadda produced a cairngorm and silver ring for Lyn and a pearl-handled Stilton knife for Stephen."
BNC-704,"But it was not deserted. The empty refrigerator and the absence of perishable food like bread and milk suggested that Stavanger had left expecting to be away for some time, but that conflicted with the pyjamas under the pillow in the bedroom, and the razor in the bathroom."
BNC-705,"He also liked swimming and cycling. He said that he wrote stories, though he had to admit that he had never got further than the first two pages."
BNC-706,"Methodically, he replaced the screwdriver in a toolbox in the garden shed, though he was not known as a tidy man. When he unwound the rope from the cleat the bell rang once."
BNC-709,A small fleet of boats were now in position in an arc around the entrance.
BNC-713,For the first time in my life I could not confess all my sins to the priest. Father Jankowski looked at me so kindly I could not tell him.
BNC-714,``For God's sake keep them in their seats. If we get panic people are going to be crushed to death and there will be mayhem in the car park.''
BNC-717,"It was hard to tell what time of day it was. The ground was too warm, Rostov was sure, for it to be morning."
BNC-720,"``It's your own silly fault,'' Claire said. ``You think people have nothing better to do than listen to you.''"
BNC-725,"The lunch trade had mostly disappeared so he wasn't hard to spot. He was at a window table but he was ignoring the river, being deep in conversation with a middle-aged man wearing a suit and a short sheepskin car coat with matching brown suede shoes."
BNC-726,O listened. As he listened he could smell the man.
BNC-727,"``Yes, dreadful isn't it,'' she agreed. ``Still, the farmers need it, Rodney says, and the garden...'' Compared with the near-despair that she had shown during their recent encounter in the church, her manner was almost jaunty."
BNC-733,"He knew he could never talk himself straight with you. He obviously knew something about Mahoney's blackmail racket, and figured the girl would be in on it."
BNC-736,What would be would be. Samantha might be back home by the early hours of Monday morning.
BNC-738,How did Selden know that the hound was following him? We know he ran a long way.
BNC-747,"That evening Shannon steered well clear of Dane, all but tiptoeing around him, determined not to land in any more confrontations. From now till this snow siege ended, she would simply live under the same roof, but keep to her own side of an invisible barrier, she decided."
