uID,Target
BNC-2100,I don't think she 'd considered this.
BNC-2101,It won't do any harm but I 'd rather not give him food for thought because I consider him an idiot and I don't think he's capable of interpreting it correctly.
BNC-2102,I don't think they like me much in that office but then I'm not keen on them either.
BNC-2104,I used the word ``move'' because I didn't think he would understand ``quiver''.
BNC-2107,I don't think he found Ward's accent at all easy and anyway like many foreigners he found it easier to speak English than to understand it.
BNC-211,The dream ended with the thought that if I had known this was the main road I need not have resorted to the acrobatics that had brought me there.
BNC-2119,I don't think I can ever be friends with her again.
BNC-2120,I didn't think they 'd ask for a licence.
BNC-2124,But I don't think Isabel wanted to live.
BNC-2143,Secondly I do not think it is a good idea to attack a plane with a hundred and seven passengers in it and ``take it apart'' as you say.
BNC-2150,I don't think he ever remembered anything from one week to the next but he smoked his pipe comfortably looking as intelligent as he could.
BNC-2152,As it happens I don't think I'm the right person to lead humanity into the future no.
BNC-2153,I don't think Sophie had ever felt anything so complicated as guilt so she must have done these things because she was fond of him.
BNC-2154,They were OK but I didn't think they was brilliant.
BNC-2163,The truth was that the two women between them had raised the nine million dollars needed to make The Dawn of Dreams and they had done it with such consummate feminine grace that the handsome silver-haired head of the family did not quite understand that his title of producer was merely honorary.
BNC-2165,Aye we're still friends but she 'll never understand that I'm not a failure I'm a success.
BNC-2175,Why is it so important to you that I admit I'm a thief?
BNC-2180,But would it have been fair to point all this out as they nuzzled one another on some Anglian plage and assumed I wasn't noticing?
BNC-2182,Do we assume there is a shipment?
BNC-2185,Did he really expect her to believe that Tara was only the housekeeper?
BNC-2186,And did he really believe that they were all wrong?
BNC-2191,What arrogance is it that drives people to believe they can have power over them?
BNC-2192,Did he enjoy being a temporarily anonymous spectacle or did he believe these seamstresses and pipe fitters knew who he was?
BNC-2203,So was it too much to believe that it was Kemp that Stratton had seen - about five o'clock hadn't he said?
BNC-2227,Why should I feel Maelmuire is important?
BNC-2229,Did you ever feel that it would be nice to give up struggling and close your eyes and sleep and never wake any more?
BNC-2237,If that woman's the sort who 'll incinerate a whole building what will she do to me when she finds out I 've heard all this?
BNC-2239,Why did Delaney suddenly find he was suspicious about the meteorological report?
BNC-2242,Has our charming storyteller forgotten that once upon a time the Christian world made no distinction between Jews and demons - knowing both had horns?
BNC-2244,Have you forgotten that your tribe the Efik were among the most notorious slavers on the slave coast?
BNC-2252,Where had she heard that scorpions when threatened by fire stung themselves?
BNC-2258,Did Carnelian hope that Jaq or Meh ` Lindi would rush or fire impetuously - only for their laser beams or needles to pass through the phantom without effect till they hit some bystander or the Governor's tabernacle?
BNC-2263,Or dare I hope that Miss Havisham would make my fortune and marry me to Estella?
BNC-2266,Do you imagine that I could forgive and forget knowing what I know now or that any of you could meet my eye knowing what you do?
BNC-227,I just wondered if you also knew as I'm sure you do that her bedroom's at the rear of the house?
BNC-2295,Why had he insisted there was no one else when it was perfectly obvious that there was?
BNC-2296,And does the Government insist that health warnings should be printed upon W.N.B.s?
BNC-2307,How did Selden know that the hound was following him?
BNC-2313,For one thing how would one know for sure that at any given moment a response of the bantering sort is truly what is expected?
BNC-232,Fabia was seated beside Ven in a taxi when she realised that furious would be an understatement for what Ven would be if he ever learned that she had not only deceived him but to add insult to injury allowed him believing her to be someone else to house her and feed her into the bargain.
BNC-2325,Does he know I'm listening?
BNC-233,But if the police learn I 've been to America they 'll ask why.
BNC-2330,And why was Tom denied by Edith Cove who knew that all he said was true?
BNC-2332,How could she sit calmly and read a magazine when all the time she knew that any moment there would be a knock on the door and Luke would be standing there waiting?
BNC-2337,Yet surely she knew they had no way of paying should she demand it?
BNC-2338,How must it be to work here day after day month after month knowing there was no end to it?
BNC-2340,How did he know I was up here looking down?
BNC-236,If by working with Roirbak it meant she had to leave Star Eye it might be for the best.
BNC-237,She was strong enough to take a certain amount of punishment if it meant that in the end Matthew would rid himself of that core of hatred which was slowly eating him away.
BNC-2375,Did you know that wasps lay their eggs in ladybirds piercing the weak spot in their armour?
BNC-2378,How did you know I 'd met him?
BNC-2388,How did you know Heather had been there?
BNC-2394,How do you know the baby was born here?
BNC-2397,Did you know that the planet Saturn is associated with lead?
BNC-2414,How long before she learned that folk 'll always take advantage of weakness?
BNC-2416,And yet why had his manner changed so abruptly when he learned that the girl whose hat he had rescued was going to live at Sunset Cottage?
BNC-2427,Does that mean that one day it will happen?
BNC-2428,What does it mean that a market has crashed?
BNC-2429,Does my writing this down now mean that I am a little bit reconciled to myself?
BNC-2430,Did he mean that Mungo was not welcome here?
BNC-2436,Did that mean that Tolby had some inkling about the theft of the coins and Newley's suspicions about the identity of the thief?
BNC-2438,Did this mean Guy Sterne didn't consider the crisis at Chester's to be that big a crisis after all?
BNC-2449,Would such a person watching Peter now reading the prayers of Rite B in his level pleasant voice notice that resentment lay like his blood just under his skin because the life he had chosen had not turned out as he had expected it to?
BNC-2452,Or should he turn desire aside and pretend that there had never been that brief blinding flare of longing between them?
BNC-2453,Or would she pretend she had never known anything about the letters?
BNC-2459,Were they just words he was reading or did he realize that three aircraft meant twenty-one crew and countless women waiting anxiously for the phone call that would tell them their man was safe - or the letter that would tell them he was not?
BNC-2460,But what would she do when she realized that with things as they were she was on a life sentence not just a temporary suspension of essential pleasure?
BNC-2462,Did Obispal's associates realize that the rashly rampaging Inquisitor was only present in this auditorium courtesy of Jaq's Assassin who had plucked him to safety?
BNC-2463,Does Ludo now realise the man is dead?
BNC-2464,Does he realize that he is part of Tite's plans - as I now dimly begin to perceive - to revive the flagging fortunes of the Government Commission?
BNC-2468,Do you realize that according to some strange Scottish law about dynasties Cora-Beth is now heir to the title and the Kinmuire estate?
BNC-249,She had to hear it from his own lips even if it meant that part of her died.
BNC-2490,Who said the arachnids had to be totally organic?
BNC-2491,Who said their glassy strands should be wholly of what was called silk?
BNC-2497,Who said it was stressful?
BNC-2499,Should she say her father had agreed she should have some money?
BNC-2504,Did your mother say Gramps was Phena's father?
BNC-251,If it meant a woman had to suffer that was no concern of theirs.
BNC-2523,Is Selkirk saying that somehow King James survived Flodden?
BNC-2527,Who says that London is more frantic than the provinces?
BNC-2528,This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?
BNC-2533,Do they say I am crazy brother?
BNC-2560,What's to stop you simply saying that my designs aren't suitable and demanding the money whether it's true or not?
BNC-2566,How can you say women are not inferior to men?
BNC-2580,Would you say that Abie was clever?
BNC-2584,Will they see they can use this... this science for their own political ideas?
BNC-2604,Do you suppose I run a rooming house or can it be you are not so innocent as you appear?
BNC-2615,What tells me that all the rest was wrong?
BNC-2616,How often had Wycliffe told himself that the only obvious beneficiary from Francis's death was his daughter?
BNC-263,If he noticed that Zukov was now edging further to the side widening the arc of fire he did not appear to be troubled.
BNC-2630,Did I ever tell you that's where Paul and I met?
BNC-2658,If she was this tired how did she think she 'd be able to survive Maritza on the following night and Luxembourg next week?
BNC-2661,Did he think he was helping?
BNC-2664,Warn him off and have him think she wanted to encourage him herself?
BNC-2670,Who would have thought that that bright articulate girl would turn out like this?
BNC-2677,Did he think that the Rubenesque figure was still fashionable?
BNC-2678,Did I think I would be able to manage for a while on my own?
BNC-293,If she remembered he was the same man whom her son had once employed there was no way of telling from the awed reception she gave him.
BNC-297,If DeVore said there was going to be a vacancy there would be a vacancy.
BNC-299,If Smith said it was Arson then that's what it was.
BNC-300,But no one in Class 1 had seemed unduly disturbed by his account of them even if the Husayn twins had said that pigs were ``boring'' and had asked if they could bring in the novelization of Terminator Two.
BNC-304,If anyone had said to her yesterday that it would be almost beyond her powers to tell Peter of Nona's death she would have laughed.
BNC-325,That wasn't his fault and if anyone said that it was Nenna would still feel like poking a hole in them.
BNC-326,If in effect Clasper said that three men must be employed to do two men's work then that was it.
BNC-328,If he said the punter had paid him fifty quid Joe knew that was what had been paid.
BNC-335,If she 'd said Carolyn had borrowed a book from Clare and wanted to return it they 'd have given her the address.
BNC-342,If I said Michelangelo's David was a frying-pan he 'd say ``I see.''
BNC-350,Blaming it on the Company would be just a fallback - you wouldn't believe me if I said I wasn't drinking of that but you might believe me if I say we 'd prefer the good old British way.
BNC-356,Perhaps I will convey a better idea of the tone of those evenings if I say that regular visitors included the likes of Mr Harry Graham valet-butler to Sir James Chambers and Mr John Donalds valet to Mr Sydney Dickenson.
BNC-36,If you believe that you can aid this world by standing on your head then I will hold your ankles for you.
BNC-363,You know damned well that if I said black was black you 'd say it was white!
BNC-365,If I said I saw sex organs when I looked at your rotten ink blots that would really get you going wouldn't it?
BNC-370,I have myself devised many staff plans over the years and I do not believe I am being unduly boastful if I say that very few ever needed amendment.
BNC-371,But you may think me merely biased if I say that my own father could in many ways be considered to rank with such men and that his career is the one I have always scrutinized for a definition of ``dignity''.
BNC-373,In view of what I am about to relate it would not be proper of me to identify the manoeuvre any more precisely though you may well guess which one I am alluding to if I say that it caused something of an uproar at the time adding significantly to the controversy the conflict as a whole was attracting.
BNC-374,Nobody will blame me if I say that in the circumstances I became very uneasy.
BNC-376,Lili frowned and I wondered what would happen if I should say that the wedding was cancelled.
BNC-385,If you say that a freely-floating body - and the weights would help a bit there because they'd keep it under water and out of any wind - moves down on the ebb at an average of a bit under two knots you'd not be far wrong.
BNC-394,Alexei thought that if the phrasing of the observation suggested that Burun was anything other than his own master it was surely an accident.
BNC-396,She loved him so very much that if he suggested they take hands and spurt to the cliff-edge and plunge off the edge together like lovesick lemmings she would do it.
BNC-397,Still he enjoyed the chairmanship and gets very cross if anyone suggests that it would have been difficult for anyone to have thrown away a Tory victory in post-Falklands Britain with a Labour Party led by Michael Foot.
BNC-398,If somebody had suggested to Agnes that she was not security-minded she would just have stared at them.
BNC-402,I simply wish to point out that if it is supposed that Karen Parsons and I embarked that afternoon with the intention of drowning her husband why did we wait till we had reached a point where our criminal acts were overlooked by at least fifteen witnesses?
BNC-403,Twenty-four hours later he admonished Babs for over-stressing the little-girl aspect of Cleopatra pointing out that childishness of character was not a question of years and that she was mistaken if she supposed the difference between folly and wisdom had anything to do with either age or youth.
BNC-406,The words had been Sandor's before he died and Rostov wondered if the assassin had ever suspected that he too was scheduled for termination once he completed his assigned task.
BNC-407,And if they somehow suspected that I was picking up something valuable why would any of them try to kill me before the pick-up?
BNC-412,If she suspected she had enjoyed her life more than most of her married contemporaries she would never have used a pejorative word about the married state since she had no personal experience of it.)
BNC-413,If her brothers even suspected that she had been with a boy all hell would break loose.
BNC-415,If she suspects Crevecoeur is here and asks we let him go back.
BNC-418,If her father had told him that he had also to hold the rod in his hand and drop the line into the water she would not have been surprised.
BNC-420,If someone had told him that he 'd been angry a moment before he would 've denied it.
BNC-422,If he had been told that the prime sources of his immense and mathematically infinitely expanding wealth were invariably polluted with the deceits and bad faith of exploitation cruelty oppression barbarism murder and vicious wrongdoing he would have been at first amazed then outraged and finally contemptuous disbelieving the information.
BNC-426,Imagine if he told the Russians that Hitler was going to turn against them soon.
BNC-427,If anyone had told her that her granddaughter was on drugs she would have laughed in their face.
BNC-428,He would have felt no less if he 'd been told that Berowne was dead of a coronary or killed in a car smash.
BNC-431,When she glanced at him again he looked very grim and she wondered if she should have told Mitch that he might well have a lot of opportunity to photograph Spain - on foot as he walked back to Malaga.
BNC-435,How would you feel if I told you there was a girl going to have a child of mine - some other girl some stranger?
BNC-454,If she thought Matthew would stop once she had hold of the other end Beth was badly mistaken.
BNC-455,Sometimes if he thought one of the girls didn't know what he was doing he 'd go into a long explanation of why he hadn't actually tasted the stuff.
BNC-459,If they thought that she knew they might let him go.
BNC-461,Not that John-William was particularly opposed to revolution if he thought he had a chance of winning.
BNC-463,He looked in her direction and they exchanged smiles and Ruth somehow felt that if Steve thought she was in trouble and needed bailing out he would come over immediately.
BNC-468,On the fourth day he was off sick and Mr Mulgrove asked Anna if she thought she could manage and to ask Heather on flours and dried fruits if she wasn't sure of anything.
BNC-473,If Ewen does come back he 'll see the tent and if he thinks that ``Parsons'' is safely out of the way then whatever his interest is in the house he 'll no doubt show it.
BNC-476,If the Mother Superior and the nun were thinking the child was odd it was nothing to what Millie was thinking about them and her introduction to the school and its inmates.
BNC-48,If - when - he decided he had waited long enough she was far from certain what her response would be.
BNC-488,And if he thought she had endured a great deal why hadn't he mentioned her nightmare?
BNC-491,Although he clearly wants to walk off the boat the ambulance crew scramble on board and clamp him onto a stretcher so firmly that I wonder if they think he might punch them.
BNC-492,But if the police really think those two stiffs were innocent members of the park-going public why do they think villains gunned them down?
BNC-50,There would be no reason for the trunk to be disturbed and if Carson decided that he wanted to see the other diaries it would be a simple matter to get hold of them.
BNC-500,But if they thought the coach was not coming... Before she had quite given in to despair however from out of the doorway of the inn came a dour old man in ancient shabby livery with shiny elbows and tarnished braid.
BNC-505,I also had a feeling that my mother would never forgive me if she thought I had admitted to fornication and worse to a person who came to her house and drank her sherry.
BNC-509,If at any point I thought that his solicitude was the sort of tender kindness you might show to someone utterly dependent and helpless - a prisoner or a caged bird - I was ashamed at once and re-doubled my efforts to be a good wife asking Nonni to teach me how to cook the elaborate dishes Richard liked and taking care to change my dress before he came home in the evening.
BNC-510,I did like Esmerelda (even if I thought her name was a bit soppy) and played with her a lot when she came to stay.
BNC-53,He would be a world-champion tiddly-winks player too if he ever decided it was something worth taking up.
BNC-540,If you think I have any personal knowledge of matters of that kind you must be crazy.
BNC-549,If you think I 'd believe such crazy behaviour you've miscalculated my knowledge of human nature.
BNC-555,If you think this is cold you wait till we hit Greenland.
BNC-566,Paige could only admit that she had never seen a better male specimen.
BNC-568,All I do know is that while the world was waiting to discover how Mrs Thatcher was ever going to be toppled the most unlikely possibility was that she might admit she had been wrong about something and ask for her P45 without more ado.
BNC-570,But Terry was now conscious and might possibly admit that he had fired first.
BNC-571,One could hardly assume that he had not gone to church out of piety and because it was Ash Wednesday Ianthe thought but it was rather puzzling and disturbing to think that she couldn't even attend to her devotions in peace.
BNC-572,It was improbable in the extreme that Brian's sterling qualities had come to the notice of the Comptroller of the Household and she could only assume that the summons had been the consequence of her father's having been an RA.
BNC-573,asked Boyd as soon as the car engine had started up and it could be assumed that Mrs Stych was on her way.
BNC-574,Whether they were poor because they were lame or lame because they were poor was perhaps a matter for sociologists and a few years later when their dwellings were swept away and replaced by council flats with rents much higher than they could afford it must be assumed that they disappeared from the face of the earth.
BNC-579,She could only now assume that life had served him badly in some way at least in his own opinion.
BNC-583,We may assume that he is not spying on players and so must be on the lookout for managerial talent.
BNC-584,Annabel could hardly believe that she had a daughter about to go to university.
BNC-585,Perhaps they all still believed that she was.
BNC-586,His face lost much of the sunken look of recent times and he went about his work with such youthful vigour that a stranger might have believed there were not one but several such figures pushing trolleys about the corridors of Darlington Hall.
BNC-587,Nor could he believe he had been followed to Oxford by somebody determined to leave this macabre calling-card for him to see for to believe that opened up possibilities too sinister to be endured.
BNC-588,But he felt bowled over and could hardly believe it wasn't obvious to every single person in the room.
BNC-590,In places the bone was exposed and in the uncertain light Nuadu could nearly believe that it had been nibbled.
BNC-591,Perhaps too he may have believed that once the gloss on my love affair dimmed his money would act as a reminder of the comforts to which I could return.
BNC-592,And then a log broke in the hearth sending sparks cascading and the shadows leapt and Grainne remembered all of the old stories and could almost have believed that the ancient Ireland had awoken at last.
BNC-593,She wished she could believe that Mother Clare in Dublin would welcome Eve and tell her that the Dublin convent would be her new home for the next year.
BNC-599,She had watched scenes like this so often in detective films and police series on television that she could hardly believe that this was real life.
BNC-600,He had changed his clothes his hair his moustache and his expression but could she really believe that he had changed his most secret thoughts and beliefs?
BNC-601,The first model appeared on the catwalk looking so glamorous so unbelievably chic that Sally could scarcely believe that her very own sister could be a part of this glittering performance.
BNC-602,He could well believe that Lesley-Jane could stimulate male lust.
BNC-605,Her nerve-ends in total chaos Robbie could hardly believe this was really happening this shivering delight.
BNC-606,He could hardly believe that Zach was his special friend.
BNC-607,Binding me with his confidences he said that the wonderfully athletic Aryan rear view of Steffi Graf made him understand how the camp inmates could believe they were indeed Untermenschen in relation to the SS.
BNC-61,If she felt he was right then she agreed with him.
BNC-611,It was only two days ago that she had decided to come and now as she stood there in the spring sunshine she could hardly believe she had allowed this to happen.
BNC-613,As we marched out of the station into the streets of Scarborough I could hardly believe I was back in Yorkshire.
BNC-618,I could believe my first finger has threaded through the trigger-guard.
BNC-62,``Lightness'' was not an easy charge for a religious sheikh to bear especially if he felt there was some justification for the charge.
BNC-625,I just wish you could believe that Eddie's death was an accident and nothing to do with me.
BNC-629,That boy Ronan could convince even his own mother that the wounds he got in a playground were superficial that the dirt on his clothes would easily wash out.
BNC-631,Perhaps her mother had convinced him that Shiona was incapable of such behaviour or perhaps he hadn't needed any convincing.
BNC-634,She prayed that Felipe would hurry back because he was the only one who could convince Ana that she was not to blame.
BNC-636,Perhaps this operation would be the last perhaps his Western masters would finally decide that the old workhorse had given his best and deserved to be put out in rich pastures.
BNC-637,Maybe a coincidence maybe the two girls talked on the phone decided they 'd both had enough.
BNC-638,Perhaps Cromwell when he passed also found the door of Coldingham Priory locked and decided that he would get in anyway even if it meant removing a whole wall in order to do so.
BNC-642,For the Imperium might just decide puristically that a mutant should not continue as governor.
BNC-646,Perhaps if she made herself useful he might decide she could stay - for a while at least just until she got something else sorted out.
BNC-650,She could feel the great muscles of the dragon's wings send ripplings down the stomach walls and she gave herself over to death.
BNC-652,Their friends could only feel that death was merciful in the circumstances especially with war imminent and that Molly had made the closing months of their lives very happy.
BNC-654,He had lost the two centre top teeth and with the tip of his tongue he could feel that the two on either side were also loose.
BNC-656,Perhaps she felt it was up to her to enter the ``artistic'' world to which Arnold remained a devoted but remote outsider.
BNC-659,Nellie was convinced it would pass even though she could feel that both children had high temperatures.
BNC-662,Perhaps though he might stroll out in the direction of the church hall to see if people were coming out then he would feel that he had made some kind of an effort.
BNC-663,If only he had started to write in a larger script I might have felt I had succeeded with him made him a poet.
BNC-667,Travelling to these matches could of course prove expensive and some of our senior supporters may find they are unable to afford it.
BNC-668,An attacking enemy could be allowed to break through the outer gates and would find that he was surrounded by walls and towers which were every bit as impregnable as those outside.
BNC-67,If he felt that his work lay here it was not for her to question his decision but she sometimes wished that something might happen to make him change his mind.
BNC-670,She could wake up and find that it was still the night of their parents ' wedding that only that afternoon she and Stephen had been on the train.
BNC-672,He probably found that Ma was good in bed but hell as soon as her feet touched the floor and after all even Walter and Ma must have had to spend the larger part of the day vertical I bet he ached to crawl back to Hilda but Ma had him neatly encircled.
BNC-681,Perhaps if I went over it all again carefully I could find out that the truth didn't condemn me out of hand.
BNC-698,You could find that this is just the beginning and that your plans aren't quite as cut and dried as they appear.
BNC-703,Though they might have forgotten that the following day would be the sixth anniversary of their engagement he with his prodigious memory had not.
BNC-704,Of course a man may have more than one razor and in tidying up for departure he may forget that he has left pyjamas under his pillow but the impression of the bedroom and the bathroom conflicted with the kitchen.
BNC-705,Willie meanwhile not only remained silent during these conversations but picked his berries slowly so that they might forget that he was there but he reckoned without Zach.
BNC-706,Perhaps he had forgotten that the bell would ring or he hardly cared whether it rang or not.
BNC-709,Place could not see the police presence on the river walk above his head but he could probably guess it was there.
BNC-713,I thought he might have guessed I was not normal.
BNC-714,The announcer could only guess from the urgency in the Chief Constable's voice that the situation was very very serious.
BNC-717,But since he had only a vague idea about the length of the Tarvaras day he could only guess from the position of the sun and the length of the shadows that it was mid to late afternoon.
BNC-720,I might have guessed I 'd get no sympathy from Claire.
BNC-725,Even from this distance you could guess the guy's tailor was based in Dublin.
BNC-726,And he could hear that the song was almost turning into a sob.
BNC-727,Perhaps she 'd heard on the college grapevine that Barney had been getting an undue amount of visits from the police and was rejoicing that the heat was off her beloved Rodney.
BNC-733,He probably heard on the radio that Mahoney had a chance so he took a stroll round to the hospital and finished him off.
BNC-736,Or they might hear she had walked into a police station somewhere later in the day.
BNC-738,He was screaming for a long time before he fell and we could hear that he was running as he screamed.
BNC-747,She could only hope he 'd do the same.
BNC-748,Guy could only hope that Isabel was quick and that the sentry wasn't inclined to shoot at an unseen target.
BNC-751,``A great deal '' Hari spoke with more confidence than she felt indeed she was trembling inside and she could only hope her nervousness didn't show.
BNC-752,One could only hope that the Earl of Gloucester would realise the futility of remaining isolated in Normandy when Matilda's cousin was already anointed and crowned an act that even the Pope acknowledged as irrevocable despite his disapproval of Stephen's methods.
BNC-753,She could only hope that things would improve along the way.
BNC-754,She had been listless for some time and the woman could only hope that moving her right away from the influence of the people she went around with into these beautiful surroundings might bring her back to herself.
BNC-756,She could only hope that Alison's appointment in London might have something to do with happier news in this connection.
BNC-757,Bonanza might be hoping I 'd produce a rabbit for him but he wasn't asleep while he waited.
BNC-759,Perhaps he had hoped that Hannele would be there miraculously.
BNC-760,It could only be hoped that the mooring-ropes were in better case than the anchors.
BNC-761,She could only hope Dane would feel the same way.
BNC-763,She could only hope that when he had recovered from jet lag he would have second thoughts and leave Garry to go his own way.
BNC-766,Now he could only hope that the heavy crop of elderberries which heralded the end of summer did not mean that all the leaves had fallen.
BNC-774,I was a little disappointed but I could only hope that Celia was still a bit hazy from the drugs.
BNC-780,He could imagine that she might be interested in its money-making propensity at the end of the year.
BNC-782,He could imagine that the walls had once been lined with an array of expensive paintings or tapestries and the wooden floorboards covered with elegant sculpted carpeting.
BNC-783,She could imagine that Tom would go out and leave his door open if he was working about the place but not if he had quitted it and in winter it seemed foolhardy to say the least to leave it and let the cold air invade the house.
BNC-784,So one of the boys could well have imagined that the Crumwallises knocked it back enthusiastically in the privacy of their home.
BNC-786,Her face was blank and Meryl found herself wondering how she could ever have imagined that they had some kind of common bond women in medicine friendship.
BNC-787,I was irritated that he could imagine I would want to go back to him.
BNC-788,She was being carried at considerably over the legal speed-limit towards an unknown destination - and quite possibly what a Victorian heroine would have regarded as a ``fate worse than death'' since she could hardly imagine that Luke had gone to the trouble of virtually kidnapping her in order to spend a quiet weekend playing Scrabble.
BNC-790,She probably imagined she was comporting herself in an attractively provocative and feminine fashion thought Lydia sneering and lengthening her stride.
BNC-791,Rachaela could imagine Emma would have been all congratulations and the joys of womanhood.
BNC-792,Nor could Jaq imagine that she could attain the full strength of a purestrain Stealer - though her own strength was formidable even when unenhanced.
BNC-793,One might imagine that Jean-Claude would have done all he could to dissuade Montaine from decamping.
BNC-794,On a day like this you could almost make yourself imagine that the old times were back when the resort was crammed with holiday-makers for the whole of the summer season and every seaside guest house had a ``No Vacancies'' sign hanging in the window.
BNC-795,The sizzling of the water in the kettle had masked the sound of Maurice's footsteps and Charlotte's heart lurched at the realization that he was standing next to her so close she could imagine he had read her thoughts.
BNC-796,Only a professor at the College de France could imagine that anyone (let alone someone who had exchanged bovine nicknames with a Masai warrior) was capable of any such omniscience.
BNC-797,He could insist the post was filled before he released her.
BNC-801,Leo was probably fun to be with a great companion a good friend she thought then gave a wry chagrined smile as he turned towards her as though he 'd been aware of her presence all along - and she might have known he wouldn't do anything so obliging as to walk off.
BNC-803,She had hoped to dodge the subject but might have known that Gloria's boundless interest in all things morbid and sensational would make it impossible.
BNC-808,Henry might have known that in his case the operation would prove a little more complicated.
BNC-810,She might have known that he would never divulge his relationship with Elise.
BNC-813,Perhaps though he knew that he needed help.
BNC-816,Perhaps Maxham already knew that the Newleys ' burglar alarm was one of the early Custodemus models.
BNC-817,She might have known that all of her efforts would end like this.
BNC-819,She had no way of knowing it was the same man who had interrogated Madeleine then made her his mistress any more than Madeleine could know that her friend was in the building being interrogated by him.
BNC-820,He might have known that it was useless to argue with McAllister - her tongue was as long as her will was strong.
BNC-821,Maybe they knew this was their big moment their chance to make history.
BNC-823,Perhaps it was despair that made me believe there was one person in the world who might know that I was in despair.
BNC-825,And they probably know I'm travelling in this car.
BNC-829,He might have known that even someone as sensible as Miss van Wiliamsburgh would try to make a play of this sort.
BNC-83,If she found he was pro-British and being forced to collaborate the Marine Commandoes would endeavour to get him out alive.
BNC-837,I might have known that Dr. Lorrimer would be mixed up in it.
BNC-839,I might have known Lisabeth wouldn't have walked up the stairs herself to leave the note.
BNC-844,Perhaps I should have known there was something wrong.
BNC-85,His Dad would kill him if he found that he 'd taken them.
BNC-87,If they have got something cooking and if I found I didn't like it when it came I 'd tell them to get stuffed.
BNC-870,If the horse had been doped it could only mean that someone in Bill's yard had been involved.
BNC-872,Cobalt shook his head which might have meant he didn't know or might have been admonishment for Oliver who was still holding the bottle of wine.
BNC-874,Her momentary horror at seeing the unmistakable form of General Etienne was only slightly dulled by the realization that the stiff posture he was in could only mean he was dead.
BNC-875,Perhaps that meant he was no better than them.
BNC-877,Perhaps that means he's a spy nowadays.
BNC-88,If I find I'm at a dead end then I can ask for outside help.
BNC-882,Apparently she knew enough to tell other people not to worry but that might mean no more than that she was trying to put a brave face on things.
BNC-883,That possibly meant that she had something else on this weekend.
BNC-885,Blagg's touching faith that Maxim would save him from murder charges in two countries might at least mean that he would stay where he was and do nothing - for once.
BNC-886,I suspect Bunny probably meant that he once knew a Swedish waitress but I let it pass.
BNC-891,And she thought with relief if new evidence had turned up in France it might mean that Veronica had had nothing to do with her husband's death.
BNC-892,Perhaps it meant that Cindy Hill had revealed at least some of whatever it was that bothered her which was a good thing really.
BNC-895,One woman looked as if she was carrying ice-skates and maybe that meant that the lake should be frozen.
BNC-899,Perhaps Alec noticed that I did not ridicule him as the others did.
BNC-900,Elaine might notice it was gone but then again she might not.
BNC-901,He might also have noticed that her dark hair was touched with grey and that although she was not exactly smart there was a kind of elegance about her.
BNC-902,The story could have happened anywhere but some readers may notice that Sinkport closely resembles a well-known coastal town in East Sussex.
BNC-903,And the only master who might have noticed I had been away was Meli himself but as it happened he 'd been in Athens.
BNC-904,Occasionally perhaps I should notice that he was not the jovial easy-going character I remembered from my humble place in the chorus.
BNC-908,You may have noticed I'm not shaking any more!
BNC-911,But if she came and found Tina up she could pretend to herself that Tina had been up for hours and was a normal person and a proper mother.
BNC-917,They had arranged between themselves that if by chance Miriam was seen entering the house by day she could always pretend she was visiting the dentist.
BNC-92,If we find that there was no spare tank we shall have to keep an even closer eye on him.
BNC-923,I was conscious that underlying it all there must be some Law of Unnatural Selection which could prove that the fittest product with the most colourful packaging was the most likely to be pollinated by purchase.
BNC-927,Maybe he had proved to himself that he had recovered his nerve but he had had to hold on very tight at that moment when she had broken.
BNC-939,If I 'd been smarter or less vain I might have realized that this meant that my former role was now vacant.
BNC-94,You will tell me if you find it was murder and give me the name of the murderer.
BNC-941,If I had kept my wits and remained coherent I would probably have realised the manager's job was third prize.
BNC-946,He probably remembers I don't have a car.
BNC-947,He could remember that there was an age for puppets and magic just as he could remember the time that he 'd spent trying to fan a deck of cards or sitting in front of a mirror trying to get the hard consonants down like a real ventriloquist.
BNC-954,It was also I learned one of the few occasions anyone at PKB could remember that Patterson had a meeting with his door shut and nobody got fired.
BNC-957,You may remember I spent some time in Paris - not the most pleasant of times freezing in the snow chased by wolves and being half-hanged at Montfaucon.
BNC-963,He was a man who could be honest with himself and in honesty he could say that he was both pleased and relieved to be back at his desk on a grey Monday morning in London.
BNC-967,It was not really my business although it could be said that I had known them both - had seen them about - for most of their lives.
BNC-971,Madame Grimaud treated all this with brisk courtesy remarking on one occasion that it could at least be said that Frederica was a good moral influence.
BNC-972,Either she could say that Derek was the biggest fool the world had ever seen - in which case she would stand self-confessed as an even bigger fool for having married him in the first place.
BNC-973,Or she could say that Derek had always had charming manners and was in the habit of commending ladies on their scent even if it smelled of Alexandrian sewers and sound as though she had lost something worth keeping - and inevitably regretful.
BNC-978,It seemed to him that Strawberry might as well have said that his tail was an oak tree.
BNC-979,It may be said that although he survived it the siege nevertheless had a bad effect on the Collector.
BNC-980,Others might say they hated her and mean it.
BNC-986,Even if anyone saw it under the charred fringes of her robe she could say it was homework.
BNC-989,Freud would probably have said the English lover was a mask for Sergei with his deep respect for England.
BNC-996,He might say now that he put his wife and child first.
SWBD-1,"you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response."
